,dataset,model,FEest,SE,DF,pvalue,residual,phi,nobs,N,u95CI,l95CI,AIC,BIC,LL,RMSE
m_EDL1,DF3,mm1mcED(dfmm),0.075006583,0.033458902,9794,0.024999662,78.81968031,-0.035386802,10000,201,0.140586032,0.009427135,73212.22529,73399.67072,-36580.11264,10.17936643
timecw,DF3,mm1mcED(dfmm),-0.028193018,0.004582318,9794,7.92E-10,78.81968031,-0.035386802,10000,201,-0.019211675,-0.037174361,73212.22529,73399.67072,-36580.11264,10.17936643
moment_NA_bray.bal.succb,DF3,mm1mcED(dfmm),-21.22513648,6.85510118,197,0.002245492,78.81968031,-0.035386802,10000,201,-7.789138168,-34.66113479,73212.22529,73399.67072,-36580.11264,10.17936643
moment_NA_bray.gra.succb,DF3,mm1mcED(dfmm),-35.36893572,3.826927579,197,3.99E-17,78.81968031,-0.035386802,10000,201,-27.86815766,-42.86971377,73212.22529,73399.67072,-36580.11264,10.17936643
m_EDcb,DF3,mm1mcED(dfmm),-3.058226186,0.525156405,197,2.31E-08,78.81968031,-0.035386802,10000,201,-2.028919632,-4.087532739,73212.22529,73399.67072,-36580.11264,10.17936643
(Intercept),DF3,mm2mcED(dfmm),10.40056315,0.788534338,9792,2.18E-39,78.74247614,-0.034824269,10000,201,11.94609045,8.855035848,73174.46292,73534.9199,-36537.23146,9.980661462
moment_NA_bray.bal.succw,DF3,mm2mcED(dfmm),1.902424999,1.281608597,9792,0.137733948,78.74247614,-0.034824269,10000,201,4.41437785,-0.609527852,73174.46292,73534.9199,-36537.23146,9.980661462
moment_NA_bray.gra.succw,DF3,mm2mcED(dfmm),1.763938783,1.297389554,9792,0.173985905,78.74247614,-0.034824269,10000,201,4.306822309,-0.778944743,73174.46292,73534.9199,-36537.23146,9.980661462
person_CESD,DF3,mm2mcED(dfmm),21.4726452,3.942867409,196,1.53E-07,78.74247614,-0.034824269,10000,201,29.20066532,13.74462507,73174.46292,73534.9199,-36537.23146,9.980661462
timecw,DF3,mm2mcED(dfmm),-0.028006587,0.004571431,9792,9.33E-10,78.74247614,-0.034824269,10000,201,-0.019046582,-0.036966592,73174.46292,73534.9199,-36537.23146,9.980661462
moment_NA_bray.bal.succb,DF3,mm2mcED(dfmm),-13.75724408,6.061489003,196,0.024319556,78.74247614,-0.034824269,10000,201,-1.876725631,-25.63776252,73174.46292,73534.9199,-36537.23146,9.980661462
moment_NA_bray.gra.succb,DF3,mm2mcED(dfmm),-29.55661292,3.417066128,196,1.85E-15,78.74247614,-0.034824269,10000,201,-22.85916331,-36.25406253,73174.46292,73534.9199,-36537.23146,9.980661462
moment_NAcwL1D,DF3,mm2mcED(dfmm),0.384106071,0.020288675,9792,1.55E-78,78.74247614,-0.034824269,10000,201,0.423871873,0.344340268,73174.46292,73534.9199,-36537.23146,9.980661462
m_EDL1,DF3,mm2mcED(dfmm),0.071388775,0.033358491,9792,0.032375515,78.74247614,-0.034824269,10000,201,0.136771417,0.006006134,73174.46292,73534.9199,-36537.23146,9.980661462
m_EDcb,DF3,mm2mcED(dfmm),-2.596691567,0.463882391,196,7.26E-08,78.74247614,-0.034824269,10000,201,-1.687482081,-3.505901053,73174.46292,73534.9199,-36537.23146,9.980661462
moment_NA_bray.bal.succw:person_CESD,DF3,mm2mcED(dfmm),-26.65631643,6.233896825,9792,1.92E-05,78.74247614,-0.034824269,10000,201,-14.43787865,-38.87475421,73174.46292,73534.9199,-36537.23146,9.980661462
moment_NA_bray.gra.succw:person_CESD,DF3,mm2mcED(dfmm),-18.44774007,6.338615609,9792,0.003618102,78.74247614,-0.034824269,10000,201,-6.024053472,-30.87142666,73174.46292,73534.9199,-36537.23146,9.980661462
